issue,has_embedding
Should we ban tax-free shopping?,True
Should there be a universal basic income in the UK?,True
Is it ever permissible to use your body to block another person's way?,True
Should we be providing more subsidised childcare?,True
Should the UK invest in a high-speed rail line between its major cities ?,True
Should we invest more in renewable energy over traditional energy sources?,True
Should people in the UK be allowed to sue the government if they have been wrongfully convicted?,True
is it better for British people to buy british products?,True
Should all people have access to the internet?,True
Should the NHS pay more attention to the long-term consequences of prescribing certain drugs?,True
Should the National Health Service (NHS) be privatised?,True
Should universities try to attract more overseas students?,True
Should we spend more money on the arts?,True
Should all politicians have to declare their true income in parliament?,True
Should the government subsidise travel to make it more affordable?,True
Is it okay for adults to do drugs at parties?,True
Should we use more of the UK's land to grow food?,True
Should the UK implement policies that lead to a population increase?,True
Should the government regulate how businesses use Artificial Intelligence systems?,True
Is it right to keep animals in zoos?,True
Is it ok for the government to track people using GPS and CCTV technology?,True
Should we have a basic income?,True
Should countries develop more solar and wind energy?,True
Should the UK have fracking for shale gas?,True
Should we put more money into the National Health Service?,True
Are car manufacturers responsible for the emissions their cars produce?,True
Should the government intervene in the housing market by offering subsidies to those who want to buy their first house?,True
Is it okay to own a social creature like a dog as a pet if you cannot commit to walking it at least twice a day?,True
Should parents have the right to know when their children have received contraception?,True
Is it a good idea to reduce the voting age to 16?,True
Should we allow more competition between banks in the UK?,True
Should a country's success be measured by how equal that society is?,True
Should we subsidize the purchase of solar panels?,True
Should we raise taxes on second and third home purchases?,True
Will Scotland ever become independent?,True
Should we do more to tackle climate change?,True
Is government surveillance technology a net positive for humanity?,True
Should all students at state schools be able to attend university for free?,True
Is the UK National Health Service better than the US health care system?,True
Should we increase taxes to spend more on our health service?,True
Should the UK government subsidize the construction of low-cost housing?,True
Has the government done enough to tackle online disinformation?,True
Should the law be changed to make it easier for companies to hire people for short periods of time?,True
Is the government doing enough to combat homelessness?,True
Should there be more or less public spending on health?,True
Should we introduce a law that says all adults must vote in all elections?,True
Should all supermarkets be legally required to charge the same price for the same product?,True
Should there be restrictions on the right to demonstrate?,True
Should we legalise recreational cannabis use?,True
Should we remove all the gender-based words from our language?,True
Should the UK provide some sort of subsidy to poorer parts of the UK?,True
Is there value in allowing privately-owned media?,True
"Should people who earn more than £250,000 a year pay more tax?",True
Should we subsidize electric cars?,True
Should there be tighter restrictions on what can be posted on social media?,True
Should the government fund more public art in the UK?,True
"Would the UK economy function better if we had a basic income of £10,000 per year?",True
Should we ban the smoking of cigarettes in public places?,True
Should we increase the tax on new cars to make it more expensive to own a car?,True
Should parents be fined for sending their children to private school?,True
Should we do more to combat climate change?,True
Should we have more nuclear power plants?,True
Is artificial intelligence going to be a net positive or a net negative for humanity?,True
Should we make it easier for people to become teachers?,True
Should people who can't pay their mortgage have their house repossessed?,True
Should we continue to subsidise the arts?,True
Should we use tax money to fund a universal basic income?,True
Is the UK doing enough to stop global warming?,True
Should the UK have a free trade agreement with the US?,True
Has the spread of mobile technology improved the quality of people's social lives?,True
Should parents be allowed to make medical decisions for their children?,True
Should the government invest more in infrastructure?,True
Should people be allowed to pay for a better education for their children?,True
Should all citizens vote on laws?,True
Should we raise the age for buying alcohol to 25?,True
Should people be entitled to free public transport?,True
Do the benefits of vaccination outweigh the risks?,True
Should all primary and secondary schools be free?,True
Should we try to reduce the amount of meat we eat?,True
Should we abolish all school league tables?,True
Should we encourage young people to be entrepreneurs?,True
Should the government restrict how many calories can be in a sugary drink?,True
Should we keep the electoral system we currently have?,True
Should the government intervene to make sure that employees of more successful companies are paid more generously?,True
Has the introduction of the smoking ban in pubs been a good thing?,True
Should it be illegal for foreign nationals to be employed in jobs that could be done by UK nationals?,True
Should people be allowed to keep wild animals as pets?,True
Should all public land be made available for public use?,True
Is it acceptable for the government to use propaganda to shape public opinion?,True
"Should we introduce a third party to ensure that the British Broadcasting Corporation is providing a fair, balanced and impartial coverage of politics?",True
Should we take a more active role in helping the less well-off countries?,True
Should the UK impose a ban on selling cars that run on fossil fuels?,True
Should parents be allowed to gift their estates to their children?,True
Is it OK to drive across the country to visit a friend despite the carbon cost?,True
Should we build more new nuclear power stations?,True
Should the government enforce a carbon tax on businesses?,True
Should we ban the production of food products containing palm oil?,True
Should we allow people to rent out spare rooms in their homes as Airbnb-style hotels?,True
Should people have the right to use e-cigarettes in public places?,True
Are people more productive when they work from home?,True
Should we have a maximum wage?,True
Should there be restrictions on the number of children a person can have?,True
Should people who do not have UK citizenship be allowed to vote in UK elections?,True
Should people in the UK be encouraged to use a bicycle to get to work?,True
Should new roads be built to relieve congestion on a major route through a city?,True
Should all people be able to legally immigrate to the UK?,True
Should we increase the state pension age?,True
Does the UK have a moral duty to admit more refugees?,True
Should we ban all single-use packaging of consumer goods?,True
Should the government limit the number of TV channels a satellite TV company can provide to just the four free-to-air channels?,True
Should we get rid of all laws and start from scratch?,True
Should the Prime Minister's office be open to the public?,True
Is there too much inequality in the United Kingdom?,True
Should we ban the export of all animal products?,True
Should there be a higher tax on unhealthy foods?,True
Should the government require all houses to have solar panels?,True
Should the government ban certain political parties from participating in elections?,True
Should the state pay for couples to freeze their sperm or eggs so they can have children when they are older?,True
Should the government support artists and their work?,True
Should the Government reduce the tax rate on cigarettes?,True
Should we ban large stores from selling food items that are considered unhealthy?,True
Should the UK tax on sugar be increased to help reduce childhood obesity?,True
Should the government subsidize the airline industry?,True
Should it be mandatory to wear a helmet while cycling?,True
Should we introduce a new public holiday to commemorate the UK’s exit from the EU?,True
Is the government doing enough to protect us from climate change?,True
Should companies be required to tell you where your clothes were made?,True
Should there be an independent Scotland?,True
Should we ban the building of wind turbines on the UK's shoreline?,True
Should we allow more fracking for gas?,True
Should the BBC be abolished?,True
Should the government ban eating meat in order to save the planet?,True
Is the quality of life in the UK higher or lower than it was 50 years ago?,True
Should more effort be put into encouraging people to vote?,True
Should the UK government subsidize petrol so that prices are cheaper for drivers?,True
Should we allow fracking for shale gas in the UK?,True
Should we ban the consumption of meat?,True
Should we make it easier for people to become citizens of the UK?,True
Should we ban non-essential plastics from supermarkets?,True
Should we give the EU access to UK fishing waters?,True
Should the government subsidise music lessons for low income families?,True
Should we require companies to give their workers a shorter working week?,True
Should university students have to pay fees to attend university?,True
Is capitalism in its current form morally defensible?,True
Should corporations be allowed to buy and sell the rights to use people’s data for advertising?,True
Should we create council housing that no one can buy?,True
Should the government set minimum wages?,True
Should police be allowed to stop and search a person for no reason at all?,True
Should we give up the Pound and join the Euro?,True
Should the government subsidize (give money to) oil and gas companies to produce fossil fuels?,True
Should the government provide greater support to parents to help children from poorer families achieve in school?,True
Should we change the UK flag?,True
Should we have a second referendum on Scottish independence?,True
Should the government introduce a universal basic income?,True
Should we use animals for medical research?,True
Should the government set a minimum price for alcohol?,True
Is the internet a force for good or evil?,True
Should people have the right to smoke in their own homes?,True
Is it possible to get to know another person well enough to know whether or not they are a good person?,True
Should the government allow a new oil refinery to be built on the coast?,True
Should the government increase the size of the armed forces?,True
Should we change our electoral system?,True
Do we need to reduce the amount of money that's spent on healthcare?,True
Should the government subsidise businesses so that they can expand and create more jobs?,True
Should we allow the creation of “designer babies”?,True
Is it acceptable for companies to sell data about the individuals?,True
Will the UK reduce the number of days a year on which a person is allowed to work?,True
Should it be possible for you to legally download copyrighted material from the internet for free?,True
Should we adopt a four-day working week?,True
Should there be more or less government involvement in health and safety?,True
Does the state have a role in reducing obesity in children?,True
Should the UK stop issuing £50 notes?,True
Should the government ban the purchase of large private cars in order to reduce air pollution?,True
Is it appropriate for doctors to prescribe medical marijuana?,True
Should the UK abolish private schools?,True
Should we ban the sale of gasoline and diesel powered cars by 2035?,True
Should all children in schools receive a free laptop?,True
Should it be possible to sue doctors who prescribe drugs with the knowledge that the drugs are dangerous?,True
Should parents be allowed to leave children in the care of their grandparents while they go on holiday?,True
Should people who use public transport be fined if they take up too much space with their personal items?,True
Should the government invest more in railway infrastructure to help improve public transport?,True
Is it ever morally permissible to tell a white lie?,True
Is the internet a public utility?,True
Will artificial intelligence ever match human intelligence?,True
Should we have national referendums on major issues?,True
Is it ever morally permissible to lie?,True
Should the government support businesses by reducing taxes on business income?,True
Should we cut the number of students accepted to UK universities?,True
Is it ever OK for a politician to ask an aide to do a personal favour?,True
Should people be fined for littering in public places?,True
Should we have a new nuclear power station?,True
Should the government ban the sale of new petrol cars in 2030?,True
Should parents have access to their children's school emails and chats?,True
Should the UK maintain its membership in the UN?,True
Should we restrict the use of algorithms in making hiring decisions?,True
Should we ban junk food adverts during children's TV programmes?,True
"Should the UK adopt a universal basic income of £10,000 per adult per year?",True
Should prostitution be legal?,True
Should there be a maximum limit to the amount of money that people can inherit?,True
Should the government use tax revenues to provide people with basic income?,True
Should a vegetarian diet be compulsory in primary schools?,True
Should the private sector play a greater role in education?,True
Should the UK have its own cryptocurrency?,True
Are the rules about acceptable content in online advertising too restrictive?,True
Should we allow employers to ask job applicants for their credit score?,True
Should we restrict foreign investment in domestic industries?,True
Should companies be obliged to report on the ethnicity pay gap?,True
Should a new nuclear power station be built at Hinkley Point?,True
Should it be illegal to say things that are false about other people?,True
Should we build a third runway at Heathrow Airport?,True
Is it okay for people to smoke in public parks?,True
Should it be illegal to use mobile phones while driving?,True
Should more be done to help combat climate change?,True
Should we ban all single-use snack containers?,True
Do you think the government should provide free medical care to all citizens?,True
Should we stop using disposable plastic?,True
Should we ask the public to vote for laws?,True
Should prisons be allowed to use solitary confinement?,True
Should we abolish or reduce university tuition fees?,True
Should we remove statues of people associated with slavery?,True
Would it be good for the UK to join the Eurozone?,True
Does it make sense to pay people more for working at night?,True
Is it a good idea to build a high-speed rail line between London and Scotland?,True
Do we need to be concerned about climate change?,True
Should the BBC be a public service broadcaster or a commercial broadcaster?,True
Should we build new nuclear power plants?,True
Does free trade make the world a better place?,True
Should the UK government fund a new high-speed rail link between London and Edinburgh?,True
Should we significantly increase the use of renewable energy sources?,True
Should we change the way that we vote in UK elections?,True
Should all university education be provided at no cost?,True
Should the government do more to encourage people to eat healthily?,True
Is the UK government morally justified in collecting taxes to fund public healthcare?,True
Should the government allow the sale of non-medicinal recreational drugs?,True
Is it wrong to sell organs for transplant?,True
Should there be term limits for elected officials?,True
Should it be legal to sell e-cigarettes to people under 18?,True
Should the government take a share of a large lottery win?,True
Is it ok for the UK government to tax people who earn a high salary at a higher rate than people who earn a lower salary?,True
Should the minimum age for buying cigarettes be raised from 18 to 21?,True
Should parents have the right to choose their children’s schools?,True
Is it okay to have laws against hate speech?,True
Should we increase taxes to fund a more comprehensive benefits system?,True
Should the government enforce compulsory national service?,True
Are there any limits on what can be allowed to be broadcast on television?,True
Would it be a good idea for the government to regulate the amount of sugar that can be put into any soft drink sold in the UK?,True
Should we be concerned about the future of the National Health Service?,True
Would it be a good idea to make the minimum wage much higher?,True
Should we adopt a universal basic income policy?,True
Should we spend more on mental health services?,True
Should we ban the import of single use plastics from China?,True
Is it right to spend £15 billion on high speed rail links betweeb cities outside London?,True
Should we encourage elderly people to work longer?,True
Should we make it illegal for a person to leave their partner or spouse?,True
Should the number of referendums be reduced in the UK?,True
Should the UK allow for the commercial sale of cannabis?,True
Are our brains like computers?,True
Should we provide housing for all homeless people?,True
Is it okay to take away a child from its parents because of their lifestyle?,True
Should there be a maximum wage in the UK?,True
Is it ok to do business in countries with repressive regimes?,True
Should the government ban all animal products?,True
Should the UK have a new runway at Heathrow?,True
Should we increase the length of time required for a divorce by mutual consent from 2 to 5 years?,True
Should we increase the tax on sugary drinks to reduce obesity?,True
Should the UK increase taxes on high income earners?,True
Are the long term risks from radioactivity from nuclear power plants greater than the short term benefits from the generation of electricity?,True
Is the NHS a socialist institution?,True
Do humans have a right to use animals for food?,True
Are celebrities treated too harshly by the media?,True
Should we ban all plastic straws?,True
Should the government impose tariffs on imported goods?,True
Should we raise the maximum age for leaving school to 18?,True
Should doctors prescribe medical cannabis?,True
Is immigration good for the UK economy?,True
Should we ban the sale of diesel cars by 2023?,True
Should the UK remain a member of the United Nations?,True
Should the Government encourage immigration into the UK from the EU?,True
Should parents be able to withdraw their children from sex education?,True
Should we ban pesticides?,True
Is the UK's National Health Service one of the best health systems in the world?,True
Should the BBC be legally compelled to be politically neutral?,True
Should the UK government ban the sale of fur?,True
Should the UK spend less on defence and more on the NHS?,True
Is the use of marijuana by non-medical users beneficial?,True
Should the government restrict the number of people that can enter the UK from other countries?,True
Is the move to a four-day working week something we should be looking at?,True
Do companies that use social media for advertising provide a societal benefit?,True
How important is it to save energy and recycle resources?,True
Should all children learn how to code?,True
Should we be spending more on the police and armed forces to improve security in the UK?,True
Should people have the right to smoke marijuana for medical purposes?,True
Should the UK adopt a higher tax on the use of plastic bags?,True
Is it ethical to use artificial insemination to allow a parent to have a child with some of their own DNA?,True
"If we could extend human life by 50 years, should we do it?",True
Is there a benefit to teaching children to learn foreign languages?,True
Is it fair to ask employers to pay for childcare when both parents are working?,True
Has the rise of the Internet caused loneliness?,True
Should companies be allowed to use artificial intelligence to select candidates for recruitment or promotion?,True
Should Scotland be given a second referendum on independence?,True
Should the UK impose tariffs on goods from the EU?,True
Should the state fund the arts?,True
Should we increase taxes on the wealthy?,True
Are new nuclear power plants a good idea?,True
Should we increase or decrease the number of migrant workers allowed into the UK?,True
Do we need to limit the number of hours people can work to prevent overworking and the ensuing health issues?,True
Should we make it easier for people from outside the UK to immigrate here?,True
Should it be illegal to lie to a parliamentary select committee?,True
Will Brexit ultimately prove to be a good thing for the UK?,True
Should every local authority offer every child a free school meal?,True
Should we spend more or less on the NHS?,True
Should the government increase the amount of solar energy produced in the UK?,True
Should Scotland leave the UK?,True
Should businesses be encouraged to find a way to recycle their products?,True
Are the benefits of free public transportation worth the cost?,True
Should we ban the use of all plastic products?,True
Should we have a law against bullying at school?,True
Is the current healthcare system too bureaucratic?,True
Should the UK government make a commitment to reduce the number of people without homes by at least 10% each year?,True
Should we increase investment in renewable energy?,True
Should people who use more than their fair share of electricity or other public utilities be forced to pay higher rates?,True
Is it okay to use disposable plastic cups at a social gathering?,True
Should the government ban plastic straws?,True
Should the UK continue to provide development aid to African nations?,True
Should the UK allow dual citizenship?,True
Should the UK use prison sentences to discourage behaviour?,True
Should we allow the creation of human-animal hybrids through genetic engineering?,True
Should universities be allowed to ban speakers on their campuses?,True
Should we build more houses in the UK?,True
Should the government offer subsidies to make housing more affordable?,True
Should we tax plastic bags at checkout?,True
Should a tax on sugar be implemented to reduce the number of obese people in the country?,True
Should the state subsidize parents who choose to homeschool their children?,True
Should we increase public transport fares and use the extra revenue to provide free public transport for certain people?,True
Should the government ban certain websites from the Internet?,True
Is there anything that can be done to lower house prices in the UK?,True
Should the UK have a Universal Basic Income?,True
"Is there a need for stricter regulation of the tech industry, to reduce levels of harmful content online?",True
Should the UK government ban the manufacture of new diesel vehicles?,True
Is it a good idea to ban advertising in children's programs?,True
Should we introduce Universal Basic Income (UBI)?,True
Should all UK workers have access to four weeks paid holiday?,True
Should we legalize the cultivation and consumption of magic mushrooms?,True
Should we ban the sale of diesel and gasoline vehicles?,True
Is the 'dark web' more of a threat to humanity than it is a liberator?,True
Should students who have a higher education be obliged to do a year of national service?,True
Should voting be mandatory?,True
Should the UK have a more generous asylum seeking policy?,True
Should the UK government subsidize the arts?,True
Is the UK a feminist country?,True
Will we ever eradicate malaria?,True
Should the UK allow for-profit organizations to run schools?,True
Should the BBC continue to receive funding from the government?,True
Should we be concerned that many jobs are now being performed by robots?,True
"Should we spend more money on healthcare, or should we spend more on other public services, like education?",True
Is it worth trying to reduce inequality?,True
Is the minimum wage a good thing?,True
Should we ban single-use plastics in the UK?,True
Should the government pay for healthcare and education?,True
Does it make sense to use artificial sweeteners in drinks?,True
Is the world going to get worse as Artificial Intelligence systems become more advanced?,True
Is it acceptable for the government to fund projects aimed at reducing inequalities between regions of the UK?,True
Should people be able to sell their organs to be used in transplants?,True
Should we build a new international airport?,True
Is the UK's economy better off outside the European Union?,True
Should the government fund research into educational programs how to make humans smarter?,True
Will the UK ever be able to stop buying oil from Middle Eastern countries?,True
Should the government be allowed to pass a law forcing people to pay a tax to reduce the risk of catastrophic climate change?,True
Should the government spend money on projects that create temporary jobs?,True
Should the UK seek to re-join the EU?,True
Should we have a general election?,True
Is it the responsibility of the government to fund and create more free parking spaces?,True
Should the government subsidise the use of solar energy?,True
Should students who receive student loans have to pay interest on them?,True
Is it right to increase the tax rate on the top 1% of earners?,True
Are video games art?,True
Should the Government fund research into cloning?,True
Should we allow the use of mobile phones in schools?,True
Will we ever develop telepathy as a useful communication medium?,True
Is the UK more or less liberal than the US?,True
Is it okay to invest in a company that manufactures weapons for military use?,True
Should we require all public transport to be free?,True
Should we cut the minimum voting age to 14?,True
Is there a place for the monarch in contemporary society?,True
Should the government subsidize solar panels for individual houses?,True
Should we build more nuclear power stations to meet our energy needs?,True
"Should we increase taxes on people who earn more than £150,000?",True
Should we lower the voting age to 16?,True
Should there be more public ownership of utility companies?,True
Should we ban new-build coal power stations?,True
Should the UK expand its current network of nuclear power plants?,True
Are people who hold high political office and have a significant influence on public life ethically required to disclose details about their family wealth?,True
Should the BBC be funded by a TV licence or from general taxation?,True
Should parents be obliged to send their children to school?,True
Should we expand our reliance on nuclear power as we phase out fossil fuel energy production?,True
Is Britain's tax burden too high?,True
"Is it right to have different policies for England, Scotland, Wales and Northern Ireland?",True
Should there be stricter penalties for animal cruelty?,True
Is it right to have compulsory voting?,True
Does the UK have too much influence over its ex-colonies?,True
Should universities be allowed to ban speakers with views they dislike?,True
Should the government encourage businesses to hire more women in senior positions?,True
Should we increase our defence spending?,True
Should we have a maximum and minimum wage?,True
Should universities allow students to submit their essays in voice recordings?,True
Should there be a ban on plastic cups and cutlery?,True
Should the Government increase taxes to reduce the deficit?,True
Does the government need to subsidize university tuition?,True
Should there be a minimum price per unit for alcohol?,True
Is it OK to use animal products at all for beauty care?,True
Should we ban smoking completely?,True
Should we implement free early childhood education?,True
Should we reduce the voting age from 18 to 16?,True
Is it reasonable to ban online trolling from social media?,True
Are the NHS and the UK welfare state fit for purpose?,True
Should the UK aim to achieve carbon neutrality by 2030?,True
Should we put up signs in our libraries indicating that the use of cellphones is not permitted?,True
Should the government make it harder for people to sue companies over product liability?,True
Should we have a minimum unit price for alcohol?,True
Should the UK government spend more on the NHS?,True
Should the government give out cash payments to all residents?,True
Will there ever be a cure for the common cold?,True
Are there any circumstances in which it's okay to lie?,True
Is it important to maintain a strong defence force in the UK?,True
Should the government do more to help the homeless?,True
Does the UK need a minimum wage?,True
Is it a good idea to replace the pound with the Euro?,True
